user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
RamBheem14,,Twitter Web App,,2022-08-17 07:49:36,False,0,"@BJP4India  @ShivSena
will request our govt to plz take strict legal action against this Gunda bollywood. who start… https://t.co/8N87h6Rxaz",0,False
bevagg1,,Twitter for iPhone,,2022-08-17 07:49:31,False,74,@IndiraR36456739 @TanmaySinghRa16 What Stopping CBI InSSRCase                            #BoycottbollywoodForever… https://t.co/KG9pvVd57j,2,False
RajeshkumarA777,"Hyderabad, India",Twitter for iPhone,,2022-08-17 07:49:13,False,178,@karanMi56188359 From now boycott is the weapon for whom talking nonsense about 🇮🇳 Hindustan ..!!… https://t.co/umcTCzM7eF,0,False
RROHHIITT,India,Twitter Web App,,2022-08-17 07:48:45,False,402,@firstpost I will say again n again #BoycottbollywoodForever #BoycottbollywoodForever #BoycottbollywoodForever… https://t.co/EF6vABPgk6,0,False
nehasondhi,"Mumbai, India",Twitter for Android,,2022-08-17 07:48:37,False,396,"When ur family gets into any financial trouble, these gutterwood people don't come to help you..so why are we helpi… https://t.co/7e5qZ2TJLw",1,False
veeresh_jantli,"Bengaluru, India",Twitter Web App,,2022-08-17 07:48:03,False,95,"If Bollywood came out from the hands of Khan, Don, Kapoor, Dagar, one day Bollywood will have to be searched in Goo… https://t.co/UlLwQ0v7Xv",0,False
SandeepKG711,"Bengaluru, India",Twitter for Android,,2022-08-17 07:47:45,False,174,"@vivekagnihotri @TVMohandasPai ""Bully""wood  will never learn from its mistakes, till it's extinction! Seems like Co… https://t.co/cBV9m8SD0L",0,False
itsmahashay,indore,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x0000022ADC177070>, id='159a141cad06f102', url='https://api.twitter.com/1.1/geo/id/159a141cad06f102.json', place_type='admin', name='Madhya Pradesh', full_name='Madhya Pradesh, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022ADC177070>, type='Polygon', coordinates=[[[74.030686, 21.073255], [82.809772, 21.073255], [82.809772, 26.868535], [74.030686, 26.868535]]]), attributes={})",2022-08-17 07:47:29,True,394,"#BoycottbollywoodForever 

Arjun Kapoor says “Bollywood was too 'decent', kept quiet against trolling, ab jyada hon… https://t.co/VuqRDbYw8D",2,False
KVNUpendraKumar,some where,Twitter for Android,,2022-08-17 07:47:20,True,470,"Humble request. We Hindus not against any of you. We made you heroes. Don't mock Hindu beliefs

Watch the thread… https://t.co/DdriuJmL0m",0,False
TomBhaiSSRian,𝙰𝚟𝚟𝚊𝚛𝚊 𝙱𝚒𝚕𝚕𝚊𝚑 𓃠,Twitter Web App,,2022-08-17 07:47:10,False,2224,"BIG! 🔥
#JacquelineFernandez who has been questioned in connection with the ₹200 crore money laundering case linked… https://t.co/rnObLGEED1",17,False
